,open,high,low,close,volume
2025-07-11,298.23,299.91,294.0,295.27,1619942.0
2025-07-14,293.86,297.14,292.84,297.03,1202396.0
2025-07-15,297.19,297.53,291.94,292.51,1593010.0
2025-07-16,292.51,299.34,292.33,299.02,1881075.0
2025-07-17,297.59,299.95,296.28,298.25,1725609.0
2025-07-18,300.93,301.0,293.75,294.76,1967676.0
2025-07-21,294.75,297.0932,293.6,295.87,2025210.0
2025-07-22,296.465,306.8,295.86,305.69,2520791.0
2025-07-23,307.81,309.49,305.99,309.22,1782753.0
2025-07-24,309.23,311.28,307.35,308.55,1531263.0
2025-07-25,308.58,309.03,304.45,306.58,1451453.0
2025-07-28,305.815,306.0,300.1,301.29,1948079.0
2025-07-29,301.115,304.07,297.78,303.56,1406569.0
2025-07-30,304.33,305.5699,299.66,301.37,1550405.0
2025-07-31,298.44,302.96,293.63,295.1,2252661.0
2025-08-01,297.06,298.52,292.59,296.88,2411088.0
2025-08-04,297.3,302.33,296.295,301.94,2316346.0
2025-08-05,300.73,302.1,297.02,300.08,2664113.0
2025-08-06,295.51,298.54,281.65,284.67,4576216.0
2025-08-07,287.35,289.25,281.69,284.7,2588880.0
2025-08-08,283.49,288.4925,283.49,288.23,1803383.0
2025-08-11,289.74,291.735,284.72,285.09,1856770.0
2025-08-12,285.48,286.26,282.6,284.98,2200356.0
2025-08-13,285.32,289.58,284.69,289.33,1785036.0
2025-08-14,288.88,291.54,287.41,290.29,1932645.0
2025-08-15,292.03,296.99,290.58,296.47,2168335.0
2025-08-18,296.93,298.14,292.2975,292.62,1744072.0
2025-08-19,292.41,296.99,292.11,295.55,1858568.0
2025-08-20,296.25,301.47,295.8,296.45,1723712.0
2025-08-21,295.9,299.9,294.49,295.76,1843705.0
2025-08-22,295.49,297.8851,293.3501,293.72,1644256.0
2025-08-25,292.61,294.6,287.56,288.47,1734403.0
2025-08-26,287.77,289.89,286.53,289.58,1750527.0
2025-08-27,288.84,290.25,286.6501,287.97,1401085.0
2025-08-28,287.23,287.23,284.87,285.61,1886704.0
2025-08-29,285.8,288.2999,285.16,287.71,1302804.0
2025-09-02,287.49,288.74,284.7101,286.92,1948379.0
2025-09-03,284.085,286.93,280.38,283.85,2579374.0
2025-09-04,284.76,284.76,278.7538,280.1,2622357.0
2025-09-05,279.8,285.29,279.0,283.64,2299366.0
2025-09-08,281.05,282.43,277.32,280.19,2453044.0
2025-09-09,279.5,282.08,278.78,279.97,1733376.0
2025-09-10,280.0,280.31,275.16,278.51,2150683.0
2025-09-11,278.52,282.9,278.0,282.73,2233208.0
2025-09-12,281.04,282.9399,276.07,276.39,2143693.0
2025-09-15,276.07,277.24,271.61,274.4,2563109.0
2025-09-16,275.89,277.59,271.725,273.085,2157395.0
2025-09-17,274.14,277.8,273.0,274.71,1749080.0
2025-09-18,274.7,276.5,273.9701,275.83,3322536.0
2025-09-19,278.64,286.148,277.37,285.41,8735065.0
2025-09-22,284.13,287.2,281.7125,286.0,3050778.0
2025-09-23,283.96,287.26,283.96,286.81,2342112.0
2025-09-24,285.47,286.7,278.0,279.22,2374569.0
2025-09-25,279.0,281.05,270.64,271.18,2802669.0
2025-09-26,274.34,275.5,269.77,272.98,1812192.0
2025-09-29,273.095,274.52,270.67,273.97,1769344.0
2025-09-30,274.14,284.815,274.02,282.2,3508730.0
2025-10-01,284.45,301.66,283.0,298.5,4835353.0
2025-10-02,298.31,300.5,295.46,297.4,2123343.0
2025-10-03,297.72,301.54,295.63,297.89,2518707.0
2025-10-06,297.62,297.62,293.03,294.12,1957330.0
2025-10-07,293.275,295.85,290.2101,295.54,1504255.0
2025-10-08,295.79,297.625,292.285,294.62,2940781.0
2025-10-09,294.13,296.63,293.7,295.43,1369162.0
2025-10-10,296.16,297.0899,289.58,290.13,2660454.0
2025-10-13,291.745,296.13,289.4414,292.405,1838558.0
2025-10-14,291.745,296.87,290.97,293.85,1975949.0
2025-10-15,292.815,298.21,292.43,297.32,2502083.0
2025-10-16,298.07,302.265,294.44,295.81,1715049.0
2025-10-17,295.24,299.37,293.14,298.81,1959530.0
2025-10-20,299.48,303.66,297.75,303.33,1613514.0
2025-10-21,302.6,303.85,298.03,301.14,1533558.0
2025-10-22,301.29,302.815,295.6,295.98,1698899.0
2025-10-23,296.01,296.46,291.9075,292.89,1496922.0
2025-10-24,292.89,293.94,290.66,291.76,1376330.0
2025-10-27,291.21,291.9999,288.26,291.16,1794617.0
2025-10-28,288.93,292.63,288.26,292.09,2217623.0
2025-10-29,291.76,294.81,289.44,291.77,2824472.0
2025-10-30,290.58,294.56,289.001,292.0,2058158.0
2025-10-31,288.46,298.88,288.0,298.43,2687516.0
2025-11-03,298.43,301.0,292.12,296.3,2753331.0
2025-11-04,298.71,299.06,294.48,296.7,3412532.0
2025-11-05,303.125,322.98,302.13,319.86,5477908.0
2025-11-06,319.1,321.31,312.52,315.59,3330531.0
2025-11-07,316.08,321.42,314.0,320.2,2665384.0
2025-11-10,320.595,326.18,319.54,323.66,2518593.0
2025-11-11,323.42,338.55,323.42,338.45,3136543.0
2025-11-12,338.64,342.4,335.815,336.28,2941162.0
2025-11-13,337.9,345.84,335.12,336.0,3413466.0
2025-11-14,336.74,339.8,330.35,336.74,3310332.0
2025-11-17,337.64,344.06,336.825,341.71,2996550.0
2025-11-18,343.73,345.49,339.3,343.99,2966636.0
2025-11-19,343.47,345.29,340.02,342.4,2129822.0
2025-11-20,344.52,345.09,335.0,336.07,3184112.0
2025-11-21,334.87,342.84,334.74,337.54,4128726.0
2025-11-24,335.84,338.66,331.705,334.3,3551616.0
2025-11-25,335.41,341.73,335.41,341.11,2868739.0
2025-11-26,341.525,345.03,340.001,344.57,2333053.0
2025-11-28,344.0,345.66,342.26,345.46,1268802.0
2025-12-01,343.07,343.98,336.25,337.49,2384122.0
